0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /Semi/imgProd/10_clearj_dancing%20bear(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 83359
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /Semi/imgProd/clearj10.jpg HTTP/1.1" 200 717630
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /resources/demos/style.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:18 +0900] "GET /resources/demos/external/jquery-mousewheel/jquery.mousewheel.js HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:25:24 +0900] "GET /Semi/board/product/write.sa?boardNo=2&prodcode=123-110 HTTP/1.1" 200 25334
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:21 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 42285
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:28 +0900] "GET /Semi/board/product/write.sa?boardNo=2 HTTP/1.1" 200 25315
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:33 +0900] "POST /Semi/board/product/write.sa HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:34 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43187
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:36 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43187
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:38 +0900] "GET /Semi/board/product/checkQnAPwd.sa?boardNo=2&idx=23 HTTP/1.1" 200 21927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:41 +0900] "POST /Semi/board/product/checkQnAPwd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:41 +0900] "GET /Semi/board/product/content.sa?boardNo=2&idx=23 HTTP/1.1" 200 33939
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:41 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:41 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:31:41 +0900] "GET /Semi/board/product/commentList.sa?revidx=23 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:21:53 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43169
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:22:02 +0900] "GET /Semi/board/product/list.sa?boardNo=3 HTTP/1.1" 200 42879
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:18 +0900] "GET /Semi/board/product/content.sa?boardNo=3&idx=47&prodcode= HTTP/1.1" 200 33175
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:18 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:18 +0900] "GET /Semi/board/product/commentList.sa?revidx=47 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:22 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:26 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:26 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34113
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:23:30 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43183
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:27:07 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34113
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:28:48 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43183
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:03 +0900] "GET /Semi/board/product/content.sa?boardNo=2&idx=11 HTTP/1.1" 200 33897
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:04 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:04 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:04 +0900] "GET /Semi/board/product/commentList.sa?revidx=11 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:11 +0900] "GET /Semi/board/product/write.sa?boardNo=2&idx=11 HTTP/1.1" 200 25387
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:19 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43183
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:29:22 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43183
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:47 +0900] "GET /Semi/member/logout.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:47 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:48 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:52 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:52 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34121
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:54 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 43187
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:56 +0900] "GET /Semi/board/product/checkQnAPwd.sa?boardNo=2&idx=23 HTTP/1.1" 200 21927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:59 +0900] "POST /Semi/board/product/checkQnAPwd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:59 +0900] "GET /Semi/board/product/content.sa?boardNo=2&idx=23 HTTP/1.1" 200 33939
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:59 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:32:59 +0900] "GET /Semi/board/product/commentList.sa?revidx=23 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:33:01 +0900] "GET /Semi/board/product/deletePost.sa?boardNo=2&idx=23 HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:33:03 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 42285
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:38:22 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 36511
0:0:0:0:0:0:0:1 - - [21/Mar/2020:20:39:01 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 34746
0:0:0:0:0:0:0:1 - - [21/Mar/2020:21:29:46 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:07:42 +0900] "GET /Semi/board/product/list.sa?boardNo=3 HTTP/1.1" 200 42764
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:09:31 +0900] "GET /Semi/board/product/list.sa?boardNo=3 HTTP/1.1" 200 43174
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:18:23 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 34613
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:32:52 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:32:56 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:32:56 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34121
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:32:59 +0900] "GET /Semi/myshop/myPageIndex.sa HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:24 +0900] "GET /Semi/myshop/myPageIndex.sa HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:28 +0900] "GET /Semi/myshop/myPageIndex.sa HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:31 +0900] "GET /Semi/member/logout.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:31 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:32 +0900] "GET /Semi/member/login.sa HTTP/1.1" 200 22927
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:47 +0900] "POST /Semi/member/loginEnd.sa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:47 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34121
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:50 +0900] "GET /Semi/myshop/myPageIndex.sa HTTP/1.1" 200 26611
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:51 +0900] "GET /Semi/myshop/boardList.sa HTTP/1.1" 200 24277
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:54 +0900] "GET /Semi/board/product/content.sa?boardNo=3&idx=33&prodcode=123-114 HTTP/1.1" 200 34745
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:54 +0900] "GET /Semi/images/ HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:55 +0900] "GET /Semi/board/product/commentList.sa?revidx=33 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:58 +0900] "GET /Semi/board/product/deletePost.sa?boardNo=3&idx=33 HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:59 +0900] "GET /Semi/board/product/list.sa?boardNo=3 HTTP/1.1" 200 43198
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:33:59 +0900] "GET /Semi/imgProd/1_clearj_True%20luv-yellow(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 80743
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/product/list.sa?cateno=1 HTTP/1.1" 200 29222
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/Smart%20bear%20friends-blue.jpg HTTP/1.1" 200 88447
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/Santa%20tree%20big%20bear-black.jpg HTTP/1.1" 200 39957
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/50_hard_dancing%20bear-black.jpg HTTP/1.1" 200 78435
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/48_hard_Bear%20and%20rabbit-purple.jpg HTTP/1.1" 200 71037
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/47_hard_Bear%20and%20rabbit-navy.jpg HTTP/1.1" 200 51494
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/46_hard_Bear%20and%20rabbit-green.jpg HTTP/1.1" 200 77213
0:0:0:0:0:0:0:1 - - [21/Mar/2020:22:34:01 +0900] "GET /Semi/imgProd/45_hard_Bear%20and%20rabbit-yellow.jpg HTTP/1.1" 200 92370
